sra_accession,sample,fastq1,fastq2
SRR4309541,426,2004-2005_426.1.1.fastq,2004-2005_426.2.1.fastq
SRR4309543,427,2004-2005_427.1.1.fastq,2004-2005_427.2.1.fastq
SRR4309570,Cal-H3N2,2004-2005_Cal-H3N2.1.1.fastq,2004-2005_Cal-H3N2.2.1.fastq
SRR4309523,400,2004-2005_400.1.1.fastq,2004-2005_400.2.1.fastq
SRR4309526,402,2004-2005_402.1.1.fastq,2004-2005_402.2.1.fastq
SRR4309528,403,2004-2005_403.1.1.fastq,2004-2005_403.2.1.fastq
SRR4309531,406,2004-2005_406.1.1.fastq,2004-2005_406.2.1.fastq
SRR4309534,409,2004-2005_409.1.1.fastq,2004-2005_409.2.1.fastq
SRR4309538,414,2004-2005_414.1.1.fastq,2004-2005_414.2.1.fastq
